time,temperature
1737050400,21.4
1737054000,20.9
1737057600,20.7
1737061200,20.6
1737064800,20.5
1737068400,20.9
1737072000,22.4
1737075600,23.5
1737079200,24.4
1737082800,26.0
1737086400,26.9
1737090000,26.0
1737093600,26.3
1737097200,25.5
1737100800,23.7
1737104400,23.1
1737108000,23.2
1737111600,22.8
1737115200,22.7
1737118800,22.2
1737122400,22.1
1737126000,21.8
1737129600,21.5
1737133200,21.2
1737136800,21.2
1737140400,21.2
1737144000,20.5
1737147600,20.7
1737151200,20.6
1737154800,20.5
1737158400,21.5
1737162000,22.8
1737165600,23.7
1737169200,25.8
1737172800,26.5
1737176400,25.6
1737180000,26.2
1737183600,26.0
1737187200,25.7
1737190800,25.2
1737194400,24.4
1737198000,23.7
1737201600,23.2
1737205200,22.1
1737208800,21.7
1737212400,21.4
1737216000,21.4
1737219600,21.4
1737223200,21.1
1737226800,20.6
1737230400,20.7
1737234000,20.9
1737237600,21.0
1737241200,20.5
1737244800,22.2
1737248400,23.9
1737252000,25.3
1737255600,26.4
1737259200,27.5
1737262800,26.6
1737266400,27.0
1737270000,25.9
1737273600,25.6
1737277200,24.4
1737280800,23.8
1737284400,23.0
1737288000,22.7
1737291600,22.4
1737295200,22.0
1737298800,21.9
1737302400,21.8
1737306000,21.2
1737309600,21.0
1737313200,20.8
1737316800,20.8
1737320400,20.8
1737324000,20.9
1737327600,21.3
1737331200,21.8
1737334800,21.9
1737338400,22.1
1737342000,24.2
1737345600,25.4
1737349200,26.1
1737352800,24.0
1737356400,23.5
1737360000,22.0
1737363600,22.3
1737367200,22.3
1737370800,22.1
1737374400,22.1
1737378000,22.4
1737381600,22.0
1737385200,22.0
1737388800,21.4
1737392400,21.6
1737396000,21.2
1737399600,21.0
1737403200,20.9
1737406800,20.8
1737410400,21.1
1737414000,21.4
1737417600,22.2
1737421200,23.4
1737424800,24.4
1737428400,25.6
1737432000,25.8
1737435600,27.2
1737439200,25.5
1737442800,24.1
1737446400,23.7
1737450000,23.2
1737453600,22.7
1737457200,22.5
1737460800,22.5
1737464400,21.8
1737468000,21.8
1737471600,22.2
1737475200,22.0
1737478800,21.5
1737482400,21.6
1737486000,21.5
1737489600,21.5
1737493200,21.3
1737496800,21.1
1737500400,21.1
1737504000,22.0
1737507600,22.6
1737511200,24.5
1737514800,25.7
1737518400,26.9
1737522000,27.5
1737525600,27.4
1737529200,26.6
1737532800,26.2
1737536400,25.8
1737540000,24.9
1737543600,23.8
1737547200,23.0
1737550800,21.4
1737554400,21.4
1737558000,21.7
1737561600,21.8
